Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,678,0,1100.0,1204.4802346607662,709.023899999977,3089.276600000005,847679.4955752213,2.260369373489178,0.0,1100,1300,1400,1400,1700,1900,2100,2300,3100,3100,3100
DELETE,/users/6652e32d0b92b21097af376f,2,1,67.07779999999985,141.25839999999988,67.07779999999985,215.43899999999994,33.5,0.0066677562639798765,0.0033338781319899383,220,220,220,220,220,220,220,220,220,220,220
DELETE,/users/6652e32d0b92b21340af3768,2,1,68,68.58380000000075,67.63760000000119,69.53000000000031,33.5,0.0066677562639798765,0.0033338781319899383,70,70,70,70,70,70,70,70,70,70,70
DELETE,/users/6652e32d0b92b225e7af376a,2,1,230.86270000000297,233.5344000000017,230.86270000000297,236.20610000000042,33.5,0.0066677562639798765,0.0033338781319899383,240,240,240,240,240,240,240,240,240,240,240
DELETE,/users/6652e32d0b92b22f09af3777,1,0,67.24439999999987,67.24439999999987,67.24439999999987,67.24439999999987,39.0,0.0033338781319899383,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/users/6652e32d0b92b26be3af375e,6,5,160.0,280.3212500000007,72.94170000000122,926.1505000000021,29.833333333333332,0.02000326879193963,0.01666939065994969,180,180,270,270,930,930,930,930,930,930,930
DELETE,/users/6652e32d0b92b28599af3779,1,0,66.19290000000433,66.19290000000433,66.19290000000433,66.19290000000433,39.0,0.0033338781319899383,0.0,66,66,66,66,66,66,66,66,66,66,66
DELETE,/users/6652e32d0b92b2d413af3774,1,0,66.96220000000253,66.96220000000253,66.96220000000253,66.96220000000253,39.0,0.0033338781319899383,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/users/6652e32d0b92b2ed5aaf3772,2,1,78.29870000000128,270.77054999999996,78.29870000000128,463.2423999999986,33.5,0.0066677562639798765,0.0033338781319899383,460,460,460,460,460,460,460,460,460,460,460
DELETE,/users/6652e32d10eabe07a55c9d38,2,1,64.48430000000016,65.40624999999878,64.48430000000016,66.3281999999974,33.5,0.0066677562639798765,0.0033338781319899383,66,66,66,66,66,66,66,66,66,66,66
DELETE,/users/6652e32d10eabe4b9f5c9d55,1,0,74.04660000000263,74.04660000000263,74.04660000000263,74.04660000000263,39.0,0.0033338781319899383,0.0,74,74,74,74,74,74,74,74,74,74,74
DELETE,/users/6652e32d10eabe71d25c9d50,3,2,80,134.92729999999634,73.14739999999631,251.37259999999628,31.666666666666668,0.010001634395969815,0.0066677562639798765,80,80,250,250,250,250,250,250,250,250,250
DELETE,/users/6652e32d10eabe76355c9d36,3,2,75,120.65043333333254,68.4875999999992,218.28359999999947,31.666666666666668,0.010001634395969815,0.0066677562639798765,75,75,220,220,220,220,220,220,220,220,220
DELETE,/users/6652e32d10eabe7d295c9d4e,3,2,79,310.4016999999999,70.35069999999877,782.1940999999981,31.666666666666668,0.010001634395969815,0.0066677562639798765,79,79,780,780,780,780,780,780,780,780,780
DELETE,/users/6652e32d10eabe85805c9d43,3,2,66,66.46543333333217,63.95519999999877,69.52529999999868,31.666666666666668,0.010001634395969815,0.0066677562639798765,66,66,70,70,70,70,70,70,70,70,70
DELETE,/users/6652e32d10eabec7495c9d48,1,0,66.51439999999553,66.51439999999553,66.51439999999553,66.51439999999553,39.0,0.0033338781319899383,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/users/6652e32e0b92b22937af3786,3,2,70,71.12333333333491,67.71600000000433,75.76780000000127,31.666666666666668,0.010001634395969815,0.0066677562639798765,70,70,76,76,76,76,76,76,76,76,76
DELETE,/users/6652e32e0b92b2596eaf37a6,1,0,68.28059999999425,68.28059999999425,68.28059999999425,68.28059999999425,39.0,0.0033338781319899383,0.0,68,68,68,68,68,68,68,68,68,68,68
DELETE,/users/6652e32e0b92b27447af3781,2,1,66.31110000000007,66.6007999999998,66.31110000000007,66.89049999999952,33.5,0.0066677562639798765,0.0033338781319899383,67,67,67,67,67,67,67,67,67,67,67
DELETE,/users/6652e32e0b92b277eeaf3792,2,1,64.49630000000184,68.1014500000039,64.49630000000184,71.70660000000595,33.5,0.0066677562639798765,0.0033338781319899383,72,72,72,72,72,72,72,72,72,72,72
DELETE,/users/6652e32e0b92b29ef4af378d,3,2,68,182.76740000000063,64.3817999999996,415.7472999999996,31.666666666666668,0.010001634395969815,0.0066677562639798765,68,68,420,420,420,420,420,420,420,420,420
DELETE,/users/6652e32e0b92b2b2d4af37a0,1,0,66.17179999999934,66.17179999999934,66.17179999999934,66.17179999999934,39.0,0.0033338781319899383,0.0,66,66,66,66,66,66,66,66,66,66,66
DELETE,/users/6652e32e0b92b2c5cfaf378b,2,1,65,65.42035000000013,64.79519999999894,66.04550000000131,33.5,0.0066677562639798765,0.0033338781319899383,66,66,66,66,66,66,66,66,66,66,66
DELETE,/users/6652e32e10eabe1cef5c9d7c,1,0,74.45969999999846,74.45969999999846,74.45969999999846,74.45969999999846,39.0,0.0033338781319899383,0.0,74,74,74,74,74,74,74,74,74,74,74
DELETE,/users/6652e32e10eabe71315c9d79,2,1,78.08209999999605,278.20374999999945,78.08209999999605,478.3254000000028,33.5,0.0066677562639798765,0.0033338781319899383,480,480,480,480,480,480,480,480,480,480,480
DELETE,/users/6652e32e10eabe78825c9d65,1,0,80.28549999999512,80.28549999999512,80.28549999999512,80.28549999999512,39.0,0.0033338781319899383,0.0,80,80,80,80,80,80,80,80,80,80,80
DELETE,/users/6652e32e10eabe96965c9d7e,1,0,70.85680000000139,70.85680000000139,70.85680000000139,70.85680000000139,39.0,0.0033338781319899383,0.0,71,71,71,71,71,71,71,71,71,71,71
DELETE,/users/6652e32e10eabea1c25c9d5b,2,1,65,69.76930000000436,64.97150000000573,74.567100000003,33.5,0.0066677562639798765,0.0033338781319899383,75,75,75,75,75,75,75,75,75,75,75
DELETE,/users/6652e32e10eabedc3b5c9d5d,1,0,63.5343000000006,63.5343000000006,63.5343000000006,63.5343000000006,39.0,0.0033338781319899383,0.0,64,64,64,64,64,64,64,64,64,64,64
DELETE,/users/6652e32f0b92b226a1af37aa,2,1,65,72.11220000000651,64.5962000000111,79.62820000000193,33.5,0.0066677562639798765,0.0033338781319899383,80,80,80,80,80,80,80,80,80,80,80
DELETE,/users/6652e32f0b92b239d1af37c4,3,2,88,108.10913333333853,70.83780000000672,165.37050000000875,31.666666666666668,0.010001634395969815,0.0066677562639798765,88,88,170,170,170,170,170,170,170,170,170
DELETE,/users/6652e32f0b92b24d6caf37c2,1,0,65.90110000000493,65.90110000000493,65.90110000000493,65.90110000000493,39.0,0.0033338781319899383,0.0,66,66,66,66,66,66,66,66,66,66,66
DELETE,/users/6652e32f0b92b25352af37af,1,0,251.1844999999937,251.1844999999937,251.1844999999937,251.1844999999937,39.0,0.0033338781319899383,0.0,250,250,250,250,250,250,250,250,250,250,250
DELETE,/users/6652e32f0b92b28ac4af37b4,2,1,67.4125000000032,122.84035000000415,67.4125000000032,178.2682000000051,33.5,0.0066677562639798765,0.0033338781319899383,180,180,180,180,180,180,180,180,180,180,180
DELETE,/users/6652e32f0b92b2dc4eaf37b1,1,0,66.59489999999835,66.59489999999835,66.59489999999835,66.59489999999835,39.0,0.0033338781319899383,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/users/6652e32f10eabe00db5c9da0,2,1,66.47549999999569,66.9967999999983,66.47549999999569,67.51810000000091,33.5,0.0066677562639798765,0.0033338781319899383,68,68,68,68,68,68,68,68,68,68,68
DELETE,/users/6652e32f10eabe321b5c9d89,1,0,67.10469999998736,67.10469999998736,67.10469999998736,67.10469999998736,39.0,0.0033338781319899383,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/users/6652e32f10eabe4ff05c9d9d,2,1,65,66.72509999999932,64.5821999999896,68.86800000000903,33.5,0.0066677562639798765,0.0033338781319899383,69,69,69,69,69,69,69,69,69,69,69
DELETE,/users/6652e32f10eabe5a215c9d8b,2,1,70,71.11429999999785,69.53430000000083,72.69429999999488,33.5,0.0066677562639798765,0.0033338781319899383,73,73,73,73,73,73,73,73,73,73,73
DELETE,/users/6652e32f10eabe63745c9d94,1,0,78.64189999999383,78.64189999999383,78.64189999999383,78.64189999999383,39.0,0.0033338781319899383,0.0,79,79,79,79,79,79,79,79,79,79,79
DELETE,/users/6652e32f10eabe89d45c9d97,1,0,436.3024999999965,436.3024999999965,436.3024999999965,436.3024999999965,39.0,0.0033338781319899383,0.0,440,440,440,440,440,440,440,440,440,440,440
DELETE,/users/6652e32f10eabe8c2c5c9d85,2,1,84,126.98505000000182,83.76470000000324,170.2054000000004,33.5,0.0066677562639798765,0.0033338781319899383,170,170,170,170,170,170,170,170,170,170,170
DELETE,/users/6652e32f10eabe8d3a5c9da9,4,3,97,136.06802500000015,66.88990000000672,246.20099999999923,30.75,0.013335512527959753,0.010001634395969815,130,130,250,250,250,250,250,250,250,250,250
DELETE,/users/6652e32f10eabed31e5c9d82,1,0,65.38600000000372,65.38600000000372,65.38600000000372,65.38600000000372,39.0,0.0033338781319899383,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/users/6652e32f10eabed8ec5c9da2,2,1,66,209.46125000001103,65.65300000001173,353.26950000001034,33.5,0.0066677562639798765,0.0033338781319899383,350,350,350,350,350,350,350,350,350,350,350
DELETE,/users/6652e3300b92b20c7faf37e6,2,1,170.0,312.9797500000038,165.5252000000047,460.43430000000285,33.5,0.0066677562639798765,0.0033338781319899383,460,460,460,460,460,460,460,460,460,460,460
DELETE,/users/6652e3300b92b2218daf37fe,2,1,69,73.58799999999377,68.89289999999448,78.28309999999306,33.5,0.0066677562639798765,0.0033338781319899383,78,78,78,78,78,78,78,78,78,78,78
DELETE,/users/6652e3300b92b228a7af37e1,2,1,65,65.51019999999852,64.88070000000334,66.1396999999937,33.5,0.0066677562639798765,0.0033338781319899383,66,66,66,66,66,66,66,66,66,66,66
DELETE,/users/6652e3300b92b23343af37f8,3,2,99,198.369733333332,65.02849999999682,430.6595999999985,31.666666666666668,0.010001634395969815,0.0066677562639798765,99,99,430,430,430,430,430,430,430,430,430
DELETE,/users/6652e3300b92b23912af37f4,2,1,70,91.39494999999442,69.6244999999891,113.16539999999975,33.5,0.0066677562639798765,0.0033338781319899383,110,110,110,110,110,110,110,110,110,110,110
DELETE,/users/6652e3300b92b25faeaf37ef,5,4,100.0,199.3862799999988,67.08559999999864,405.61729999998875,30.2,0.01666939065994969,0.013335512527959753,100,350,350,410,410,410,410,410,410,410,410
DELETE,/users/6652e3300b92b28df6af37f2,3,2,420.0,393.9015333333344,65.49470000000213,696.9157999999993,31.666666666666668,0.010001634395969815,0.0066677562639798765,420,420,700,700,700,700,700,700,700,700,700
DELETE,/users/6652e3300b92b2aa27af37ec,1,0,85.51770000001113,85.51770000001113,85.51770000001113,85.51770000001113,39.0,0.0033338781319899383,0.0,86,86,86,86,86,86,86,86,86,86,86
DELETE,/users/6652e3300b92b2b7c1af37df,2,1,104.57210000001282,148.49735000000663,104.57210000001282,192.42260000000044,33.5,0.0066677562639798765,0.0033338781319899383,190,190,190,190,190,190,190,190,190,190,190
DELETE,/users/6652e33010eabe20975c9dd0,2,1,70.29810000000225,234.33265000000603,70.29810000000225,398.3672000000098,33.5,0.0066677562639798765,0.0033338781319899383,400,400,400,400,400,400,400,400,400,400,400
DELETE,/users/6652e33010eabe29145c9db1,3,2,75,133.90936666666656,64.79360000000156,262.3585999999989,31.666666666666668,0.010001634395969815,0.0066677562639798765,75,75,260,260,260,260,260,260,260,260,260
DELETE,/users/6652e33010eabe536f5c9db5,1,0,63.644699999997556,63.644699999997556,63.644699999997556,63.644699999997556,39.0,0.0033338781319899383,0.0,64,64,64,64,64,64,64,64,64,64,64
DELETE,/users/6652e33010eabe57b25c9dd9,2,1,65,247.48964999999856,64.70729999999492,430.2720000000022,33.5,0.0066677562639798765,0.0033338781319899383,430,430,430,430,430,430,430,430,430,430,430
DELETE,/users/6652e33010eabe98505c9db3,2,1,68,75.12105000000702,67.67980000000762,82.56230000000642,33.5,0.0066677562639798765,0.0033338781319899383,83,83,83,83,83,83,83,83,83,83,83
DELETE,/users/6652e33010eabee64e5c9dca,2,1,70.19189999999753,150.4013999999998,70.19189999999753,230.61090000000206,33.5,0.0066677562639798765,0.0033338781319899383,230,230,230,230,230,230,230,230,230,230,230
DELETE,/users/6652e33010eabeed915c9dcc,3,2,66,72.71440000000003,65.92179999999814,86.01120000000151,31.666666666666668,0.010001634395969815,0.0066677562639798765,66,66,86,86,86,86,86,86,86,86,86
DELETE,/users/6652e3310b92b229bbaf3800,3,2,66,70.80180000000287,65.66490000000158,80.4925000000054,31.666666666666668,0.010001634395969815,0.0066677562639798765,66,66,80,80,80,80,80,80,80,80,80
DELETE,/users/6652e3310b92b23831af3807,2,1,66,66.71615000000486,65.73310000001698,67.69919999999274,33.5,0.0066677562639798765,0.0033338781319899383,68,68,68,68,68,68,68,68,68,68,68
DELETE,/users/6652e3310b92b24aedaf380d,1,0,68.4711999999763,68.4711999999763,68.4711999999763,68.4711999999763,39.0,0.0033338781319899383,0.0,68,68,68,68,68,68,68,68,68,68,68
DELETE,/users/6652e3310b92b2650baf3816,2,1,67,70.4126000000116,66.87980000000948,73.9454000000137,33.5,0.0066677562639798765,0.0033338781319899383,74,74,74,74,74,74,74,74,74,74,74
DELETE,/users/6652e3310b92b26b46af3821,3,2,110.0,401.4775666666708,67.29240000001369,1027.5800999999944,31.666666666666668,0.010001634395969815,0.0066677562639798765,110,110,1000,1000,1000,1000,1000,1000,1000,1000,1000
DELETE,/users/6652e3310b92b26ff1af3811,1,0,312.80430000001047,312.80430000001047,312.80430000001047,312.80430000001047,39.0,0.0033338781319899383,0.0,310,310,310,310,310,310,310,310,310,310,310
DELETE,/users/6652e3310b92b28107af3819,1,0,65.8292999999901,65.8292999999901,65.8292999999901,65.8292999999901,39.0,0.0033338781319899383,0.0,66,66,66,66,66,66,66,66,66,66,66
DELETE,/users/6652e3310b92b2c9bfaf381e,5,4,89,147.3689800000045,79.58529999999087,395.59380000000033,30.2,0.01666939065994969,0.013335512527959753,89,90,90,400,400,400,400,400,400,400,400
DELETE,/users/6652e3310b92b2e354af3823,1,0,64.85010000000102,64.85010000000102,64.85010000000102,64.85010000000102,39.0,0.0033338781319899383,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/users/6652e33110eabe0c5b5c9dff,1,0,64.98759999999493,64.98759999999493,64.98759999999493,64.98759999999493,39.0,0.0033338781319899383,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/users/6652e33110eabe199e5c9de7,2,1,83,83.03579999999045,82.73479999999722,83.33679999998367,33.5,0.0066677562639798765,0.0033338781319899383,83,83,83,83,83,83,83,83,83,83,83
DELETE,/users/6652e33110eabe602f5c9df3,2,1,96.03599999999801,174.7911000000073,96.03599999999801,253.5462000000166,33.5,0.0066677562639798765,0.0033338781319899383,250,250,250,250,250,250,250,250,250,250,250
DELETE,/users/6652e33110eabe88e55c9de9,1,0,466.77490000001853,466.77490000001853,466.77490000001853,466.77490000001853,39.0,0.0033338781319899383,0.0,470,470,470,470,470,470,470,470,470,470,470
DELETE,/users/6652e33110eabe9b235c9ded,2,1,74.38330000002225,77.58770000000936,74.38330000002225,80.79209999999648,33.5,0.0066677562639798765,0.0033338781319899383,81,81,81,81,81,81,81,81,81,81,81
DELETE,/users/6652e33110eabed11c5c9de3,3,2,210.0,188.69279999999833,69.04169999999965,285.5928999999975,31.666666666666668,0.010001634395969815,0.0066677562639798765,210,210,290,290,290,290,290,290,290,290,290
DELETE,/users/6652e33110eabed65a5c9dfd,3,2,270.0,238.50079999999707,88.21100000000115,355.1736999999946,31.666666666666668,0.010001634395969815,0.0066677562639798765,270,270,360,360,360,360,360,360,360,360,360
DELETE,/users/6652e3320b92b21d4aaf3850,2,1,67,157.39095000000702,66.54980000001842,248.23209999999563,33.5,0.0066677562639798765,0.0033338781319899383,250,250,250,250,250,250,250,250,250,250,250
DELETE,/users/6652e3320b92b22f89af383a,1,0,65.28779999999301,65.28779999999301,65.28779999999301,65.28779999999301,39.0,0.0033338781319899383,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/users/6652e3320b92b24a55af3860,4,3,250.0,280.794450000009,228.3501000000001,380.8378000000232,30.75,0.013335512527959753,0.010001634395969815,260,260,380,380,380,380,380,380,380,380,380
DELETE,/users/6652e3320b92b25b33af3857,1,0,67.13240000001974,67.13240000001974,67.13240000001974,67.13240000001974,39.0,0.0033338781319899383,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/users/6652e3320b92b2767daf384e,1,0,86.03669999999397,86.03669999999397,86.03669999999397,86.03669999999397,39.0,0.0033338781319899383,0.0,86,86,86,86,86,86,86,86,86,86,86
DELETE,/users/6652e3320b92b29e72af383f,1,0,111.37029999997594,111.37029999997594,111.37029999997594,111.37029999997594,39.0,0.0033338781319899383,0.0,110,110,110,110,110,110,110,110,110,110,110
DELETE,/users/6652e3320b92b2d26caf3853,1,0,162.86859999999592,162.86859999999592,162.86859999999592,162.86859999999592,39.0,0.0033338781319899383,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/users/6652e3320b92b2f524af3843,2,1,230.0,420.44560000000786,229.95140000000447,610.9398000000112,33.5,0.0066677562639798765,0.0033338781319899383,610,610,610,610,610,610,610,610,610,610,610
DELETE,/users/6652e33210eabe31135c9e1f,2,1,78,156.34929999998803,77.66949999998474,235.02909999999133,33.5,0.0066677562639798765,0.0033338781319899383,240,240,240,240,240,240,240,240,240,240,240
DELETE,/users/6652e33210eabe40cd5c9e09,4,3,70,130.58420000000837,68.12090000002513,238.7913000000026,30.75,0.013335512527959753,0.010001634395969815,150,150,240,240,240,240,240,240,240,240,240
DELETE,/users/6652e33210eabe487a5c9e17,2,1,260.0,264.6187999999796,257.4404999999729,271.79709999998636,33.5,0.0066677562639798765,0.0033338781319899383,270,270,270,270,270,270,270,270,270,270,270
DELETE,/users/6652e33210eabe642f5c9e15,2,1,68.23879999998894,69.16309999999726,68.23879999998894,70.08740000000557,33.5,0.0066677562639798765,0.0033338781319899383,70,70,70,70,70,70,70,70,70,70,70
DELETE,/users/6652e33210eabe66255c9e28,4,3,86,274.4453250000021,78.70850000000473,511.22130000001675,30.75,0.013335512527959753,0.010001634395969815,420,420,510,510,510,510,510,510,510,510,510
DELETE,/users/6652e33210eabe7e7a5c9e0c,2,1,66.05949999999439,70.01699999999289,66.05949999999439,73.9744999999914,33.5,0.0066677562639798765,0.0033338781319899383,74,74,74,74,74,74,74,74,74,74,74
DELETE,/users/6652e3330b92b21717af388f,1,0,76.04010000000017,76.04010000000017,76.04010000000017,76.04010000000017,39.0,0.0033338781319899383,0.0,76,76,76,76,76,76,76,76,76,76,76
DELETE,/users/6652e3330b92b231d3af388d,6,5,74,74.39296666665977,65.09539999998992,83.16949999999679,29.833333333333332,0.02000326879193963,0.01666939065994969,79,79,80,80,83,83,83,83,83,83,83
DELETE,/users/6652e3330b92b23315af3876,1,0,71.87290000001667,71.87290000001667,71.87290000001667,71.87290000001667,39.0,0.0033338781319899383,0.0,72,72,72,72,72,72,72,72,72,72,72
DELETE,/users/6652e3330b92b2f8c9af3885,1,0,81.04559999998173,81.04559999998173,81.04559999998173,81.04559999998173,39.0,0.0033338781319899383,0.0,81,81,81,81,81,81,81,81,81,81,81
DELETE,/users/6652e33310eabe238d5c9e38,1,0,65.36109999998985,65.36109999998985,65.36109999998985,65.36109999998985,39.0,0.0033338781319899383,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/users/6652e33310eabe43c45c9e42,2,1,64.0713999999889,126.70934999998451,64.0713999999889,189.34729999998012,33.5,0.0066677562639798765,0.0033338781319899383,190,190,190,190,190,190,190,190,190,190,190
DELETE,/users/6652e33310eabe7a335c9e31,3,2,120.0,164.60546666667142,106.88220000000115,270.1436000000115,31.666666666666668,0.010001634395969815,0.0066677562639798765,120,120,270,270,270,270,270,270,270,270,270
DELETE,/users/6652e33310eabe86dd5c9e2f,3,2,110.0,110.22563333333817,68.97789999999304,155.66689999999994,31.666666666666668,0.010001634395969815,0.0066677562639798765,110,110,160,160,160,160,160,160,160,160,160
DELETE,/users/6652e33310eabe99215c9e2b,1,0,68.05870000002301,68.05870000002301,68.05870000002301,68.05870000002301,39.0,0.0033338781319899383,0.0,68,68,68,68,68,68,68,68,68,68,68
DELETE,/users/6652e33310eabeeccc5c9e3b,2,1,68.00110000000359,68.90815000001282,68.00110000000359,69.81520000002206,33.5,0.0066677562639798765,0.0033338781319899383,70,70,70,70,70,70,70,70,70,70,70
DELETE,/users/6652e3340b92b20c8baf38b2,2,1,68,103.04834999999457,67.59309999998209,138.50360000000705,33.5,0.0066677562639798765,0.0033338781319899383,140,140,140,140,140,140,140,140,140,140,140
DELETE,/users/6652e3340b92b255aaaf38ae,1,0,66.2003999999854,66.2003999999854,66.2003999999854,66.2003999999854,39.0,0.0033338781319899383,0.0,66,66,66,66,66,66,66,66,66,66,66
DELETE,/users/6652e3340b92b2b35daf3894,2,1,73,180.02579999999568,72.74910000001,287.30249999998136,33.5,0.0066677562639798765,0.0033338781319899383,290,290,290,290,290,290,290,290,290,290,290
DELETE,/users/6652e33410eabe3e625c9e80,1,0,72.2462999999891,72.2462999999891,72.2462999999891,72.2462999999891,39.0,0.0033338781319899383,0.0,72,72,72,72,72,72,72,72,72,72,72
DELETE,/users/6652e33410eabe4f6a5c9e7c,2,1,66,203.42525000000933,65.51530000001549,341.33520000000317,33.5,0.0066677562639798765,0.0033338781319899383,340,340,340,340,340,340,340,340,340,340,340
DELETE,/users/6652e33410eabe58185c9e6f,2,1,64.15309999999863,75.49924999999291,64.15309999999863,86.8453999999872,33.5,0.0066677562639798765,0.0033338781319899383,87,87,87,87,87,87,87,87,87,87,87
DELETE,/users/6652e33410eabe5f995c9e5d,2,1,64.30000000000291,70.94810000000962,64.30000000000291,77.59620000001632,33.5,0.0066677562639798765,0.0033338781319899383,78,78,78,78,78,78,78,78,78,78,78
DELETE,/users/6652e33410eabe7f685c9e77,5,4,390.0,341.5301199999931,67.81639999999811,745.0379999999939,30.2,0.01666939065994969,0.013335512527959753,390,440,440,750,750,750,750,750,750,750,750
DELETE,/users/6652e33410eabeac435c9e64,2,1,74,85.04994999998416,73.57549999997559,96.52439999999274,33.5,0.0066677562639798765,0.0033338781319899383,97,97,97,97,97,97,97,97,97,97,97
DELETE,/users/6652e33410eabeca335c9e69,2,1,163.0267000000174,262.478950000002,163.0267000000174,361.9311999999866,33.5,0.0066677562639798765,0.0033338781319899383,360,360,360,360,360,360,360,360,360,360,360
DELETE,/users/6652e3350b92b21295af38c0,1,0,66.64559999998687,66.64559999998687,66.64559999998687,66.64559999998687,39.0,0.0033338781319899383,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/users/6652e3350b92b235dcaf38d0,2,1,263.82849999998825,279.08019999999567,263.82849999998825,294.3319000000031,33.5,0.0066677562639798765,0.0033338781319899383,290,290,290,290,290,290,290,290,290,290,290
DELETE,/users/6652e3350b92b23f8daf38cc,3,2,74,217.55563333332853,72.44869999999537,506.6157999999916,31.666666666666668,0.010001634395969815,0.0066677562639798765,74,74,510,510,510,510,510,510,510,510,510
DELETE,/users/6652e3350b92b24033af38b8,3,2,75,202.9101666666596,65.79339999998979,467.8021999999942,31.666666666666668,0.010001634395969815,0.0066677562639798765,75,75,470,470,470,470,470,470,470,470,470
DELETE,/users/6652e3350b92b25913af38da,2,1,66,67.43194999999957,65.74479999997607,69.11910000002308,33.5,0.0066677562639798765,0.0033338781319899383,69,69,69,69,69,69,69,69,69,69,69
DELETE,/users/6652e3350b92b27b32af38ba,1,0,125.5886000000146,125.5886000000146,125.5886000000146,125.5886000000146,39.0,0.0033338781319899383,0.0,130,130,130,130,130,130,130,130,130,130,130
DELETE,/users/6652e3350b92b29928af38bc,1,0,252.34720000000266,252.34720000000266,252.34720000000266,252.34720000000266,39.0,0.0033338781319899383,0.0,250,250,250,250,250,250,250,250,250,250,250
DELETE,/users/6652e3350b92b2dba4af38d2,3,2,84,90.1961999999988,65.54950000000304,121.51670000000081,31.666666666666668,0.010001634395969815,0.0066677562639798765,84,84,120,120,120,120,120,120,120,120,120
DELETE,/users/6652e3350b92b2e5e6af38dc,2,1,65.17370000000255,234.94660000000067,65.17370000000255,404.7194999999988,33.5,0.0066677562639798765,0.0033338781319899383,400,400,400,400,400,400,400,400,400,400,400
DELETE,/users/6652e33510eabe0ae35c9e88,3,2,66,70.90146666666897,65.30799999998749,80.98470000001612,31.666666666666668,0.010001634395969815,0.0066677562639798765,66,66,81,81,81,81,81,81,81,81,81
DELETE,/users/6652e33510eabe2b945c9eac,1,0,66.10349999999698,66.10349999999698,66.10349999999698,66.10349999999698,39.0,0.0033338781319899383,0.0,66,66,66,66,66,66,66,66,66,66,66
